filename,width,height,class,xmin,ymin,xmax,ymax
IMG_4505.jpg,1512,2016,capsule,499,730,609,838
IMG_4505.jpg,1512,2016,gel,452,438,547,505
IMG_4505.jpg,1512,2016,gel,607,280,692,345
IMG_4505.jpg,1512,2016,gel,904,253,987,330
IMG_4505.jpg,1512,2016,gel,807,923,877,1008
IMG_4505.jpg,1512,2016,capsule,639,745,719,865
IMG_4505.jpg,1512,2016,capsule,889,708,1009,790
IMG_4505.jpg,1512,2016,capsule,914,768,999,883
IMG_4505.jpg,1512,2016,capsule,1094,913,1162,1040
IMG_4505.jpg,1512,2016,capsule,972,1050,1104,1103
IMG_4505.jpg,1512,2016,capsule,599,943,699,1053
IMG_4505.jpg,1512,2016,capsule,387,1358,484,1475
IMG_4505.jpg,1512,2016,capsule,614,1340,739,1418
IMG_4505.jpg,1512,2016,capsule,1019,1133,1137,1233
IMG_4505.jpg,1512,2016,capsule,1162,1250,1237,1380
IMG_4505.jpg,1512,2016,gel,742,1508,807,1615
IMG_4505.jpg,1512,2016,gel,832,1508,897,1598
